5	Jannik	Fisher	jannikfi	NULL	Rue des cerisier 12	jannik.fisher@gmail.com	784568455	CFC Informatique, Ingénieur informaticien en développement d''applications
6	Louis	Leblanc	louisle	NULL	Route de la tour 8	louis.lb@bluewin.com	783568456	Étude d''architecture de photographie et de science de l''écologie.
7	David	Tavares	davidta	NULL	route de la marmelade 2	david.tav@paradisiac.ch	784968457	CFC d''électronique
8	Hank	Lardi	hankla	NULL	chemin du pommier 4	hank.lardi@heisenberg.de	784568458	Formation dual de Mécatronique en entreprise.
9	John	Ruth	johnru	NULL	avn 12 avril 28	john.ruth@hotmail.com	784568659	CFC Maçonnerie, diplôme d''enseignement secondaire
10	Robert	Mayer	mayerro	NULL	Rue des pommier 12	robert.Mayer@gmail.com	783568456	CFC de constructeur métalique
11	Marcus	Kaine	marcuska	NULL	Route du lac 8	Marcus.Kaine@bluewin.com	783558445	CFC D''automaticien
12	Tobias	Delasarra	delasarrato	NULL	avn du 24 janvier	tobias.dela@gmail.com	784966757	Ingénieur en électricité, CFC de paysagiste
13	Flavio	Pirello	pirellofl	NULL	Route des rangiers	flavio.pirello@titoli.it	784568489	Maitre de dessein à l''école secondaire, CFC de photographe
14	Michel	Lopez	lopezmi	NULL	avn 24 avril 28	michel.lopez@hotmail.com	784568698	Maturité gymnasiale
