1;Loïc;Berdoz;Rue Centrale 34 Lausanne
2;Alen;Bijelic;Avenue des Monts 43 Lausanne
3;Léandre;Campiche;Route des Acacias 7 Genève
4;Carvalho;David;Route de Nyon 10 Chavannes-près-Renens
5;Samuel;Dadié;Route de la Laiterie 6 Chavannes-près-Renens
6;Julien;Favre;Chemin des Clochetons 8 Biel/Bienne
7;Miguel;Fernandes;Avenue du Midi 12 Nyon
8;Romain;Gillieron;Chemindu Parchet 3 Lausanne
9;Maxime;Pichonnat;Avenue d'Echallens 23 Montreux
10;Quentin;Rey;Chemin des Rosiers 3 Féchy
11;Dylan;Sewell;Route des Mennettes 4 Trélex
12;Axel;Taverney;Rue de la Mouline 4 Morrens
13;Théodore;Voisard;Chemin des Rosiers 6 Lausanne
14;Maryse;Bordeleau;Route des Mennettes 64 Fléchy
15;Yvette;Huard;Rue de la Mouline 5 Lausanne
16;Paul;Marois;Rte des Avants 1 Montreux
17;Thibodeau;Lorraine;Rue des Mousquetaires 30
18;Jean;Nébzoin;Av. Des jolies filles 10 Morges
19;Jean;Népasbzoin;Kammelenbergstrasse 82 Fisibach
20;Louis;Rochat;Rue des Singes 12 Vevey
21;Jean;Nébzoin;Via Pestariso 97 St. Gallen
22;Jean;Népasbzoin;Brunnacherstrasse 28 Zürich
23;Louis;Rochat;Rue d Port 1912 Lausanne
24;Jérémy;Bossel;Rue des Instincts 100 Lausanne
25;David;Casas;Landstrasse 119 Schaufelbüel
26;Loïc;Geinoz;Blvd des Terminadors 10 Genève
27;Tharsshan;Gnanasekaram;Fortunastrasse 83 Erlen
28;David;Junior Branco;Herrenberg 117 Provence
29;Nicolas;Klun;Chemin de de la course 1 Fribourg
30;Emilie;Le Labousse;Loorenstrasse 115 Coinsins
31;Nikita;Martin;Gerbiweg 117 Buch
32;Thibaud;Michel;Rue des Juges 10 Mex
33;Matteo;Perroud;Herrenberg 13 Privilasco
34;Patrick;Pittet;Studhaldenstrasse 53 Les Petits Ponts
35;Ruben Dario;Rios;Rue de la Démolition 5 Renens
36;Florian;Vuffray;Via Stazione 61 Stalden
37;Oriel ;Guimond;Sonnenbergstr 145 Bretonnières
38;Sumner;Laboissonnière;Binzmühlestrasse 2 Salenstein
39;Cher;Curtois;Avenue de Bouvines Lausanne
40;Gaetan;Camus;Rue Sadi Carnot Vevey
41;Vilette;Mazuret;Rue des Coudriers Morrens
42;Astopho;Sabourin;Via Gabbietta 114 Verdasio
43;Cendrillon;Mercure;Höhenweg 111 Herferswil
44;Sacripant;Labrosse;Rosenweg 149 Ladir
45;Denis;Arpin;Avenue d'Ouchy 134 Pont-la-Ville
46;Latimer;Melanson;Tösstalstrasse 30 Wavre
47;Pierpont;Hughes;Kornquaderweg 91 Reigoldswil
48;Gifford;Pelletier;Im Sandbüel 117 Fregiécourt
49;Fitz;Émond;Rasenstrasse 147 Hersiwil
50;Lefèbvre;Aubine;Bergrain 144 Chavornay
